Short_Name,Iteration_Count_o,Error_Final_o,Duration_o,Error_Initial_o,Duration_Log_o,Iteration_Count_m,Error_Final_m,Duration_m,Error_Initial_m,Duration_Log_m
instance_0000005008,22.0,1.3566888315045737e-17,1.084667444229126,0.0041294681067479,0.0812734369961431,22.0,9.89464904046398e-18,0.9069206714630128,0.0009580053798468,-0.0977002952466342
instance_0000005058,22.0,1.4682351424066372e-17,1.077756404876709,0.0049379547796052,0.0748814774497254,22.0,1.1903972289820353e-17,1.0099282264709473,0.0010914576497077,0.0098792654280283
instance_0000005014,22.0,1.7243635098751546e-17,1.07842755317688,0.0057335148259124,0.0755040109022532,22.0,1.649893134588102e-17,1.0697565078735352,0.0013116301883767,0.0674310598424729
instance_0000005077,24.0,1.9360911622204424e-17,1.1564714908599854,0.0073169586951824,0.1453735511619785,22.0,1.6020462754921233e-17,0.977208137512207,0.0013708873545373,-0.0230556122568353
instance_0000005074,20.0,2.8619055378276185e-18,0.9071104526519777,0.0008016916894383,-0.0974910582747495,22.0,2.954849272132097e-18,0.940319299697876,0.0006413978508342,-0.0615357808668021
instance_0000005085,23.0,2.058748948506187e-17,1.138730525970459,0.0069386646563102,0.1299140682123973,22.0,1.6042083830119418e-17,0.9914054870605468,0.0013985941007778,-0.0086316587523687
instance_0000005006,22.0,1.1234125035032728e-17,1.0560462474822998,0.0033186789995634,0.0545319792893973,22.0,9.378579461722597e-18,0.9532604217529296,0.0007119793876437,-0.0478671474398897
instance_0000005038,20.0,8.559335520047671e-18,0.9773440361022948,0.0022396567060459,-0.0229165537122322,22.0,6.858914538619255e-18,1.0387461185455322,0.0005889289618503,0.0380143305216054
instance_0000005091,23.0,2.0892284543810466e-17,1.0921034812927246,0.0063689765324171,0.0881056359215511,24.0,1.6095236216463865e-17,1.0026566982269287,0.0014691192323989,0.0026531754421322
instance_0000005024,23.0,2.441157682569395e-17,1.2462904453277588,0.0088098584035511,0.2201714953903798,22.0,2.0005949136752438e-17,0.9803845882415771,0.0020173896877745,-0.0198103473195703
instance_0000005052,23.0,5.207350965336815e-18,1.1270034313201904,0.0013654933084926,0.1195622797026852,22.0,4.171652618175212e-18,1.0200622081756592,0.0006528618762563,0.0198636138439714
instance_0000005050,23.0,2.7290798634402122e-17,1.0733788013458252,0.0101903067613913,0.0708114314933057,21.0,2.1904738051120966e-17,1.0025441646575928,0.0015903721553255,0.0025409337495048
instance_0000005037,22.0,2.493646121237798e-17,1.0820677280426023,0.0096237979480055,0.0788737736987488,22.0,1.9611287815560906e-17,1.0387132167816162,0.0016944727497124,0.0379826555199731
instance_0000005004,22.0,2.1042919053143312e-17,1.085153579711914,0.0077241826733048,0.0817215250970125,22.0,1.767120853170623e-17,0.9667937755584716,0.0017120880477539,-0.0337700683629513
instance_0000005049,23.0,7.027100490839367e-18,1.078526735305786,0.0017074923684463,0.0755959758822305,22.0,5.413977375975146e-18,0.9029104709625244,0.0007595625002307,-0.1021318767013662
instance_0000005068,22.0,1.5758483391862493e-17,1.2231478691101074,0.0046102218127968,0.2014277562730089,22.0,1.2288565386454566e-17,0.9524834156036376,0.0012487039311003,-0.0486825835726123
instance_0000005089,22.0,1.2592159860548497e-17,1.1243081092834473,0.0037196496770081,0.1171678324874453,22.0,9.987849317889996e-18,0.9769556522369384,0.0007073176232872,-0.0233140197434523
instance_0000005095,23.0,9.08723783514459e-18,1.1127331256866455,0.0027743337577504,0.1068192642844838,22.0,8.142537616693228e-18,0.9854114055633544,0.0006607919323379,-0.014696054387448
instance_0000005003,23.0,1.2721816249388398e-17,1.1483173370361328,0.0038773378619573,0.1382976856884127,22.0,1.0314954847423982e-17,0.9095642566680908,0.0008867426412212,-0.0947896329774361
